User,Stable_diffusion_prompt
Stable diffusion prompt for A frustrated businessman,"A frustrated businessman, in a modern office, with dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama"
Stable diffusion prompt for A businessman in the office,"A businessman, in the office, with professional lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama"
Stable diffusion prompt for Sad samurai,"Sad samurai, lonely, standing in a bamboo forest, dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Akira Toriyama and Hayao Miyazaki"
Stable diffusion prompt for A samurai cutting trees,"Samurai, fierce, cutting trees, in a serene bamboo forest, dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Akira Toriyama and Hayao Miyazaki"
Stable diffusion prompt for A beautiful girl,"A beautiful girl, standing gracefully, in a serene garden, with ethereal lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Makoto Shinkai."
Stable diffusion prompt for A girl in the forest,"A girl, in the forest, with creative lighting style, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama"
Stable diffusion prompt for An african woman drawn in the style of Akira Toriyama.,"An african woman, drawn in the style of Akira Toriyama, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama."
Stable diffusion prompt for Tree leaves blowing in the wind,"Tree leaves blowing in the wind, vibrant, captured in a serene forest, dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for A dying plant,"A dying plant, wilted, in a sunlit room, dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for A pensive man sitting alone in the woods,"A pensive man, sitting alone, in the woods, with mystical lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama"
Stable diffusion prompt for A pensive woman,"A pensive woman, in a mystical forest, with vibrant lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Makoto Shinkai."
Stable diffusion prompt for Dancing woman,"Dancing woman, graceful, in a moonlit forest, vibrant and dreamy, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Hirohiko Araki"
Stable diffusion prompt for A couple dancing together in the disco,"A couple, dancing, in a disco, with vibrant neon lights, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Osamu Tezuka and Hayao Miyazaki."
Stable diffusion prompt for A little girl playing in the sand,"A little girl, playing, in the sand, with warm sunlight, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Makoto Shinkai."
Stable diffusion prompt for Luxury car,"Luxury car, sleek, cruising on a moonlit road, in a futuristic city, with vibrant neon lights, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for Luxury car driving fast,"Luxury car, fast, driving, in a city at night, with dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for A luxury car driving fast into the sunset,"Luxury car, fast, driving, into the sunset, warm lighting style, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama"
Stable diffusion prompt for An elegant bird flying,"An elegant bird, flying, in a serene forest, with ethereal lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Hiroshi Yoshida"
Stable diffusion prompt for Little boy complaining,"Little boy, complaining, in a park, with dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Makoto Shinkai."
Stable diffusion prompt for An italian woman drawn in the style of Eiichiro oda,"An Italian woman, drawn in the style of Eiichiro Oda, detailed, anime style, 90s anime style, trending on ArtStation."
Stable diffusion prompt for Gangster fleeing the police,"Gangster, fleeing, in a city at night, with dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hirohiko Araki and Hayao Miyazaki"
Stable diffusion prompt for A mother arguing with her son,"A mother, arguing, in a living room, with dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Osamu Tezuka and Hayao Miyazaki."
Stable diffusion prompt for Attractive woman drawn in the style of Hajima Yatate and Sayo Yamamoto,"Attractive woman, drawn in the style of Hajima Yatate and Sayo Yamamoto, detailed, anime style, 90s anime style, trending on ArtStation."
Stable diffusion prompt for Moroccan village,"Moroccan village, vibrant, with people bustling about, in the golden hour light, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for Japanese city at night,"Japanese city at night, vibrant, bustling with activity, in a futuristic cyberpunk setting, dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Masamune Shirow"
Stable diffusion prompt for Rainy city at dawn,"Rainy city at dawn, serene, illuminated by neon lights, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Makoto Shinkai"
Stable diffusion prompt for Stormy city,"Stormy city, atmospheric, illuminated by neon lights, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for A big city skyline at night,"A big city skyline, illuminated by neon lights, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama"
Stable diffusion prompt for A big city skyline,"A big city skyline, majestic, illuminated by neon lights, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama"
Stable diffusion prompt for Spaceship taking off,"Spaceship, taking off, in outer space, with vibrant neon lights, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Takashi Murakami"
Stable diffusion prompt for A haitian woman,"A Haitian woman, elegant, posing for a photoshoot, in a vibrant tropical garden, with dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Akira Toriyama."
Stable diffusion prompt for An upholstered couch,"An upholstered couch, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama"
Stable diffusion prompt for Two warriors battling,"Two warriors, battling, in a mystical forest, with vibrant colors, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Akira Toriyama."
Stable diffusion prompt for A flat-screen television,"A flat-screen television, sleek, displaying vibrant colors, in a modern living room, with dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai."
Stable diffusion prompt for A gun,"A gun, powerful, in a dimly lit warehouse, dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama"
Stable diffusion prompt for Gun,"Gun, powerful, resting on a table, in a dimly lit room, dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Junji Ito"
Stable diffusion prompt for Man,"Man, confident, holding a sword, in a misty forest, vibrant lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Akira Toriyama"
Stable diffusion prompt for Boy,"Boy, energetic, playing basketball, in a school gymnasium, vibrant lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for Woman,"Woman, beautiful, posing, in a garden, with dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for Girl,"Girl, with flowing hair, reading a book, in a tranquil garden, with soft pastel lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and CLAMP"
Stable diffusion prompt for Alien,"Alien, mysterious, in a dense forest, vibrant colors, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Akira Toriyama"
Stable diffusion prompt for Aliens landing on earth,"Aliens, mysterious, landing, on earth, vibrant lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for Human landing on Mars,"Human landing on Mars, adventurous, exploring the unknown, in a barren red landscape, ethereal lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for Toussaint L'ouverture,"Toussaint L'ouverture, heroic, leading a revolution, in a tropical paradise, vibrant lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for Emma Stone,"Emma Stone, talented, posing for a photoshoot, in a luxurious mansion, dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for Kate Moss,"Kate Moss, stunning, posing for a fashion shoot, in a luxurious mansion, with dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Ai Yazawa and Osamu Tezuka"
Stable diffusion prompt for Kanye West,"Kanye West, influential musician and fashion icon, in a futuristic cityscape, vibrant and dynamic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai."
Stable diffusion prompt for Master P,"Master P, stylish, creating magic, in a mystical forest, vibrant lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for Genghis Khan,"Genghis Khan, fierce conqueror, in the Mongolian Steppe, dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Akira Toriyama and Hayao Miyazaki"
Stable diffusion prompt for Whitney Houston,"Whitney Houston, talented singer, in a concert hall, vibrant lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for Shakira,"Shakira, talented, singing and dancing, in a vibrant concert venue, dynamic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Rumiko Takahashi and Hayao Miyazaki"
Stable diffusion prompt for Frida Kahlo,"Frida Kahlo, vibrant, gazing into the distance, in a lush garden, with ethereal lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and CLAMP."
Stable diffusion prompt for Benito Juarez,"Benito Juarez, influential, standing tall, in a vibrant garden, chiaroscuro lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for Tupac,"Tupac, charismatic, posing for a photoshoot, in a graffiti-covered alley, with vibrant neon lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Masashi Kishimoto."
Stable diffusion prompt for Biggie Smalls,"Biggie Smalls, iconic, rapping, in a New York City street, cinematic lighting style, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Osamu Tezuka and Hayao Miyazaki"
Stable diffusion prompt for Jay-Z,"Jay-Z, talented, performing live, in a concert hall, vibrant lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Akira Toriyama and Hayao Miyazaki"
Stable diffusion prompt for Aristotle,"Aristotle, wise, pondering the universe, in a library, ethereal lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai."
Stable diffusion prompt for Plato,"Plato, wise, contemplating the universe, in a peaceful garden, ethereal lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai."
Stable diffusion prompt for Mansa Musa,"Mansa Musa, wealthy, walking through a bustling marketplace, vibrant lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Akira Toriyama and Hayao Miyazaki."
Stable diffusion prompt for Sunni Ali,"Sunni Ali, majestic, gazing at the stars, in a mystical forest, ethereal lighting style, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for Sundiata Keita,"Sundiata Keita, legendary warrior, in the ancient kingdom of Mali, with vibrant colors, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for Mexican,"Mexican, vibrant, capturing a moment, on a sunny beach, dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai."
Stable diffusion prompt for American,"American, iconic, standing proudly, in a bustling city, with vibrant neon lights, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for A mexican,"A Mexican, vibrant, dancing, in a bustling market, dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Frida Kahlo and Hayao Miyazaki"
Stable diffusion prompt for A colombian dancing,"A Colombian dancing, vibrant, in a tropical paradise, with dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Makoto Shinkai and Hayao Miyazaki."
Stable diffusion prompt for Brazilian,"Brazilian, colorful, dancing, on the beach, with vibrant lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Osamu Tezuka and Hayao Miyazaki"
Stable diffusion prompt for A brazilian,"A Brazilian, vibrant, dancing samba, in a tropical paradise, with dynamic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama."
Stable diffusion prompt for A tree,"A tree, majestic, standing tall, in a serene forest, with ethereal lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai."
Stable diffusion prompt for A pig,"A pig, cute, in a peaceful meadow, with vibrant colors, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Akira Toriyama"
Stable diffusion prompt for A flying pig,"A flying pig, majestic, soaring through the sky, in a dreamy forest, ethereal lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Makoto Shinkai."
Stable diffusion prompt for A thief,"A thief, sneaking around, in a dark alley, with dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama"
Stable diffusion prompt for Thief,"Thief, sneaking in shadows, in a medieval castle, with dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Akira Toriyama"
Stable diffusion prompt for Forest,"Forest, Enchanting, bathed in sunlight, in a mystical realm, ethereal lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for Savannah,"Savannah, picturesque, with vibrant wildlife, in the golden light of sunset, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Makoto Shinkai"
Stable diffusion prompt for Empty Savannah,"Empty Savannah, serene, bathed in soft sunlight, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Yūichi Yokoyama"
Stable diffusion prompt for Radiant sun,"Radiant sun, glowing brightly, in a peaceful meadow, with vibrant colors and soft shadows, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Akira Toriyama"
Stable diffusion prompt for Vibrant city,"Vibrant city, bustling with life, in a neon-lit metropolis, with creative lighting style, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Akira Toriyama"
Stable diffusion prompt for A nigerian,"A Nigerian, vibrant, posing for a photoshoot, in a bustling market, with dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Osamu Tezuka and Hayao Miyazaki."
Stable diffusion prompt for A spoon,"A spoon, shiny, resting on a table, with vibrant lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai."
Stable diffusion prompt for Fork,"Fork, shiny, resting on a plate, in a rustic kitchen, with dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for Deer running through the forest,"Deer, running, in the forest, with ethereal lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for Fox running through the wild,"Fox, running, in the wild, with vibrant colors, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for Tiger fighting a lion,"Tiger, fierce, fighting, in a jungle, dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Akira Toriyama."
Stable diffusion prompt for Gorilla,"Gorilla, powerful, posing, in a lush jungle, dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Makoto Shinkai."
Stable diffusion prompt for An empty plate sitting on a counter,"An empty plate, sitting, on a counter, with soft lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama"
Stable diffusion prompt for An empty plate ,"An empty plate, plain and simple, in a cozy cafe, with soft, dreamy lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Akira Toriyama."
Stable diffusion prompt for A plate,"A plate, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama"
Stable diffusion prompt for Plate,"Plate, intricate, in a bustling restaurant, vibrant lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for Empty plate,"Empty plate, abandoned, in a dimly lit room, moody lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Akira Toriyama"
Stable diffusion prompt for A plate on a counter,"A plate, on a counter, with creative lighting style, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama"
Stable diffusion prompt for plate on a counter,"Plate, on a counter, with dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Akira Toriyama"
Stable diffusion prompt for A counter,"A counter, stable, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama"
Stable diffusion prompt for A kitchen-counter,"A kitchen-counter, stable, in a cozy farmhouse kitchen, with warm and soft lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai."
Stable diffusion prompt for Angry man,"Angry man, intense expression, in a busy city street, dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Kentaro Miura and Akira Toriyama."
Stable diffusion prompt for Sad man,"Sad man, looking out the window, in a rainy city, with dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Hirohiko Araki"
Stable diffusion prompt for Happy man,"Happy man, being joyful, in a sunny park, with vibrant lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Akira Toriyama."
Stable diffusion prompt for Sad woman,"Sad woman, looking into the distance, in a rainy city, with dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Makoto Shinkai."
Stable diffusion prompt for Angry kitten,"Angry kitten, glaring fiercely, in a cozy living room, dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai."